S21 dB20 X,S21 dB20 Y
18800000000,0.5171716962710723
18900000000,0.606620988927312
19000000000,0.6955306298308275
19100000000,0.7838789760506188
19200000000,0.8716437771501838
19300000000,0.9588021889288729
19400000000,1.045330789473158
19500000000,1.131205597683736
19600000000,1.216402094269129
19700000000,1.300895245460155
19800000000,1.384659529423721
19900000000,1.467668965533704
20000000000,1.549897146528669
20100000000,1.631317273667768
20200000000,1.71190219491582
20300000000,1.79162444618458
20400000000,1.870456295679835
20500000000,1.948369791363415
20600000000,2.025336811436066
20700000000,2.101329117942892
20800000000,2.176318413289327
20900000000,2.250276399703912
21000000000,2.323174841455007
21100000000,2.394985629724446
21200000000,2.465680849975833
21300000000,2.535232851587225
21400000000,2.60361431956722
21500000000,2.670798348089443
21600000000,2.736758515553788
21700000000,2.801468960862229
21800000000,2.864904460661994
21900000000,2.927040507041443
22000000000,2.98785338547495
22100000000,3.047320252484758
22200000000,3.105419212673954
22300000000,3.162129394689423
22400000000,3.21743102564767
22500000000,3.271305503620543
22600000000,3.323735467704533
22700000000,3.374704865212182
22800000000,3.424199015571766
22900000000,3.472204670535742
23000000000,3.518710070195849
23100000000,3.563704994488819
23200000000,3.607180809817911
23300000000,3.649130510404315
23400000000,3.689548754151073
23500000000,3.72843189264576
23600000000,3.76577799518133
23700000000,3.8015868665637
23800000000,3.835860058553732
23900000000,3.86860087491836
24000000000,3.899814369996922
24100000000,3.929507340842467
24200000000,3.957688312945269
24300000000,3.984367519723127
24400000000,4.009556875863441
24500000000,4.033269944780169
24600000000,4.055521900389679
24700000000,4.076329483511344
24800000000,4.095710953231912
24900000000,4.113686033520646
25000000000,4.130275855577707
25100000000,4.145502896216534
25200000000,4.159390912770658
25300000000,4.171964874938061
25400000000,4.183250894001145
25500000000,4.193276149870718
25600000000,4.20206881642027
25700000000,4.209657985544244
25800000000,4.216073590340381
25900000000,4.2213463279213
26000000000,4.225507582154436
26100000000,4.228589346804657
26200000000,4.230624149413926
26300000000,4.231644976242789
26400000000,4.231685198618896
26500000000,4.230778500968894
26600000000,4.22895881080093
26700000000,4.226260230854579
26800000000,4.222716973674353
26900000000,4.218363298702278
27000000000,4.213233452125166
27100000000,4.207361609547108
27200000000,4.200781821574466
27300000000,4.193527962455001
27400000000,4.185633681714155
27500000000,4.177132358910413
27600000000,4.16805706146386
27700000000,4.158440505526831
27800000000,4.148315019919423
27900000000,4.137712513041017
28000000000,4.1266644427002
28100000000,4.115201788794624
28200000000,4.103355028771233
28300000000,4.09115411570673
28400000000,4.078628459035073
28500000000,4.065806907640198
28600000000,4.052717735354995
28700000000,4.039388628665301
28800000000,4.025846676507357
28900000000,4.012118362071485
29000000000,3.998229556431742
29100000000,3.984205513950461
29200000000,3.970070869272758
29300000000,3.955849635826478
29400000000,3.941565205695253
29500000000,3.927240350770611
29600000000,3.912897225036287
29700000000,3.898557367895626
29800000000,3.884241708480809
29900000000,3.869970570725473
30000000000,3.855763679259208
30100000000,3.841640165893787
30200000000,3.827618576696561
30300000000,3.813716879549941
30400000000,3.799952472085579
30500000000,3.786342189965042
30600000000,3.772902315392411
30700000000,3.759648585844271
30800000000,3.746596202884253
30900000000,3.733759841064845
31000000000,3.721153656819951
31100000000,3.708791297342912
31200000000,3.69668590932159
31300000000,3.68485014757131
31400000000,3.673296183472503
31500000000,3.662035713176877
31600000000,3.651079965555848
31700000000,3.640439709843517
31800000000,3.630125262973698
31900000000,3.620146496499648
32000000000,3.610512843181399
32100000000,3.601233303109645
32200000000,3.592316449391647
32300000000,3.583770433370901
32400000000,3.575602989341391
32500000000,3.56782143873896
32600000000,3.560432693798616
32700000000,3.553443260624237
32800000000,3.546859241705764
32900000000,3.540686337791787
33000000000,3.534929849173687
33100000000,3.529594676286506
33200000000,3.524685319669929
33300000000,3.520205879233378
33400000000,3.51616005280552
33500000000,3.512551133995816
33600000000,3.509382009258081
33700000000,3.506655154247601
33800000000,3.504372629346131
33900000000,3.502536074426858
34000000000,3.501146702768819
34100000000,3.500205294123387
34200000000,3.499712186959565
34300000000,3.499667269788147
34400000000,3.500069971591482
34500000000,3.500919251339927
34600000000,3.502213586561234
34700000000,3.503950960950702
34800000000,3.506128850980315
34900000000,3.508744211548113
35000000000,3.511793460565903
35100000000,3.515272462540104
35200000000,3.519176511079486
35300000000,3.523500310374807
35400000000,3.528237955540971
35500000000,3.533382911934824
35600000000,3.538927993332179
35700000000,3.54486533901433
35800000000,3.55118638976348
35900000000,3.557881862735994
36000000000,3.564941725270892
36100000000,3.572355167587977
36200000000,3.580110574433407
36300000000,3.588195495699019
